alumno,PERIODO,COD CURSO,NOMBRE CURSO,SECCION,SESION-GRUPO,TIPO NOTA,NUM NOTA,PUNTAJE,PROMEDIO FINAL
99,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,18,18
99,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,1.00,15,18
99,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,18
99,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,3.00,20,18
99,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Proyecto,1.00,20,18
252,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,19
252,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,1.00,18,19
252,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,20,19
252,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,3.00,20,19
252,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Proyecto,1.00,20,19
100,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,19
100,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,1.00,18,19
100,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,19
100,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,3.00,20,19
100,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Proyecto,1.00,20,19
223,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,19
223,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,1.00,17,19
223,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,17,19
223,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,3.00,20,19
223,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Proyecto,1.00,20,19
107,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,17,17
107,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,1.00,11,17
107,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,2.00,19,17
107,2019 - 2,GH1002,Arte y Tecnología,1,Laboratorio 1.00,Evaluación Continua,3.00,20,17
