alumno,PERIODO,COD CURSO,NOMBRE CURSO,SECCION,SESION-GRUPO,TIPO NOTA,NUM NOTA,PUNTAJE,PROMEDIO FINAL
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,10,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,7,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,5,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,11,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,11,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,12,10
130,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,11,10
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,0,0
31,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,0,0
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,10,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,10,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,6,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,12,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,14,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,12,10
121,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,11,10
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,3,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,3,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,7,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,5,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,7,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,1,3
54,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,3,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,3,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,2,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,5,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,5,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,8,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,2,3
132,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,4,3
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,10,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,9,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,8,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,13,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,13,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,11,10
98,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,8,10
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,12,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,13,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,5,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,13,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,14,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,11,12
144,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,8,12
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,6,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,5,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,5,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,9,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,11,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,3,6
32,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,7,6
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,0,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,0,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,0,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,1,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,2,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,0,0
33,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,0,0
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,15,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,16,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,8,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,13,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,12,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,17,15
96,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,16,15
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,4,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,4,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,7,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,6,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,9,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,1,4
60,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,3,4
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,RET,RET
8,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,RET,RET
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,15,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,14,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,9,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,15,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,14,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,17,15
61,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto a semana 8,1.00,16,15
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Nota final,1.00,RET,RET
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios,1.00,RET,RET
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de laboratorios a semana 8,1.00,RET,RET
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales,1.00,RET,RET
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Promedio de quices individuales a semana 8,1.00,RET,RET
3,2019 - 2,IN0054,Estadística y Probabilidades,1,Teoria 1.00,Proyecto,1.00,RET,RET
