Nota1,Nota2,Nota3,Nota4,Nota5,Nota6,Promedio
15,16,2,5,15,13,10.400000000000002
18,17,4,8,17,17,12.8
20,16,15,16,17,17,16.799999999999997
17,14,15,18,18,17,16.3
13,7,5,10,11,12,9.3
15,13,1,7,12,15,9.9
17,18,11,12,19,17,15.2
13,9,10,8,10,12,10.2
16,13,16,16,15,14,15.1
17,17,3,5,15,14,11.3
19,12,12,12,15,13,13.800000000000002
16,15,11,11,17,18,14.100000000000001
20,14,14,17,20,15,16.5
16,12,13,11,19,16,13.900000000000002
13,10,7,11,13,16,11.1
19,18,11,14,20,16,16.000000000000004
18,13,10,14,17,17,14.399999999999999
17,13,11,15,18,17,14.7
10,7,12,14,13,11,11.000000000000002
18,19,13,13,18,19,16.3
20,16,15,15,18,16,16.6
14,13,16,17,14,14,14.800000000000002
13,10,16,19,17,12,14.5
16,10,9,12,14,15,12.3
18,16,11,13,19,17,15.2
20,16,15,15,17,16,16.5
17,16,13,19,18,15,16.300000000000004
16,10,10,11,15,17,12.600000000000001
15,15,2,6,14,14,10.4
15,11,14,11,19,16,13.7
17,18,16,19,20,18,17.8
11,11,2,2,10,10,7.200000000000001
16,12,14,11,18,15,13.900000000000002
14,13,3,6,15,12,9.899999999999999
15,15,9,11,17,14,13.1
15,10,9,10,10,12,11.0
13,13,10,12,15,14,12.500000000000002
18,15,15,15,20,19,16.5
11,10,12,15,14,11,12.100000000000001
